Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,35.55187206,35.2176463,35.01756422,35.04873896,36.2201389,36.45828048,35.73754385,36.04469322,37.18191451,35.40077707,36.70941718,41.28485001,34.3259919,31.25080951,29.99071872,26.43481356,33.63634027,34.37286917,31.43997901,31.86153313,44.55566559,45.69143521,46.14477528,45.78258201,41.64744981,44.41744049,45.08441949,45.49177078,46.38867192,47.18134255,46.70069084,44.35733513,44.38379684,46.04466406,46.28377825,45.12850071,50.12420143,49.93417578,49.83362704,50.20074326,50.5663243,50.58011856,51.5724175,52.40049242,52.80586182,52.8799569,52.74459719,52.8840218,52.93212168,53.32332353,53.49829628,53.04579211,53.15157724,53.39018142,53.63575432,53.71383194,51.20780399,51.38390054,50.89016072,50.84928874,51.51130933,51.30150694,51.03808268,51.11191294,51.41665653
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,30.49241984,29.0035229,24.98604074,25.09575845,24.07415009,25.13736643,21.37009859,30.05723859,32.47716136,32.74169261,35.20332404,35.69859985,39.11952191,45.28738709,44.68474125,65.27827969,65.93147486,49.09088244,54.43540935,53.40346276,54.01625891,53.49107333,55.26064208,53.85262004,54.05453377,53.52907146,52.94011189,53.92317204,53.21625177,56.09344935,59.50056965,57.59050614,57.18187185,58.19023118,58.72807224,58.27517172,57.5930646,57.95866611,61.03853928,61.56749448,61.55116014,62.44606756,59.89523713,62.5047159,62.58259004
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.46352793,52.80999403,48.30707643,55.59649707,54.78561968,50.60686776,52.44495034,52.13315122,53.72095389,59.71472169,60.71045097,58.82660746,57.20615477,56.39952656,57.8230717,52.87407072,49.2411388,51.94495255,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,73.43099309,72.98659771,72.95854398,73.11717292,,68.48252776,70.15502211,66.84857095,66.60829849,71.17483829,67.46370052,68.13537474,67.93385979,76.87339317,76.94322735,80.14190766,77.69854899,82.37725464,80.97253062,81.4963546,82.32646332,82.19536,78.95055202,82.07968477,81.20178605,82.39263632,81.1380223,79.86236961,76.94115891,79.04021842,78.3941252,76.83736568,76.48999655,74.96003021,75.13885422,74.36920991,76.46576347,77.17703747,80.30985551,78.55847243,77.18596837
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29138812,53.60000242,35.7000015,39.36432995,38.70941073,44.48688982,54.35316558,54.56063812,54.89862575,55.790661,55.60727203,54.63792035,52.59453371,52.54003278,53.65132437,55.64013609,55.50865567,55.81472748,56.78615983,56.1571218,56.78346264,54.92883631,54.17487863,54.45006178,53.73282537,54.57076717,54.65616613,53.86153381,54.50168528,55.91111916,57.9945827
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63741339,22.22222222,27.17391304,40.60913706,44.41072332,41.15054817,39.36425857,37.91047624,39.5825174,40.03573619,39.89467691,44.3475881,44.07057842,43.25280051,41.8164579,39.62832215,40.83288127,40.47154694,37.99144469,42.16908424,43.47399889,44.13800062,43.29272646,45.42178672,45.65221303,47.74169804,48.52299656,47.63371859,47.81045081,48.42669267,49.01189414,48.69651004,48.20254876,48.80556409,49.6802343
Belize,BLZ,,,,,,,,,,,,,,,,,,,40.64563463,43.14888011,47.28049728,51.81208054,57.63427882,58.61148198,56.46633374,57.88374521,57.36757624,53.12584209,51.92786807,52.95255549,52.94708946,54.01942723,55.30341113,55.2699741,56.74608313,56.37018497,55.89704413,57.17311656,57.49865519,59.05023744,57.13407674,59.12772851,59.94857992,61.44090458,61.45911411,62.4597444,60.43113471,60.06385098,60.33699465,61.60201362,61.7259552,61.06565228,62.06138054,62.23834707,61.90576406,62.17368505,61.84046067,62.55129506,63.87659435,64.13139053,61.28203245,60.936564,61.66438332,62.38485743,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.92083624,89.74511821,90.68708856,90.07025629,90.81535544,90.41111926,90.13227852,89.7082683,89.61685043,89.14517681,90.33421204,90.49803177,90.5814692,91.45616827,
Bolivia,BOL,,,,,,,,,,,44.31385532,46.23540258,43.8277512,41.54004432,40.022843,44.76703105,45.73691624,45.2547963,46.71684264,48.03236892,44.73795378,44.53074165,44.9220897,42.4717965,43.20220889,43.42372375,44.29850609,46.72855517,46.12102293,46.42444104,46.11378289,46.60919402,47.51949373,48.93584702,48.32160764,46.73082343,47.5103919,49.220347,51.7171694,54.22011738,52.16181966,52.6537766,52.29955206,51.28805477,49.28496949,46.82019694,43.13178499,42.50957194,40.49602365,43.50852618,43.55243055,41.01319173,40.44349194,40.21178175,41.46535066,45.97640028,49.80233245,48.7378534,49.09409569,50.71991512,52.80726175,50.57558389,49.60319289,51.05493364,
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.02469584,46.13137265,43.97254003,45.80320246,45.19243122,42.73842837,43.47688423,41.42710774,40.66943052,41.2352676,44.7820179,48.36730927,60.4966083,60.54971303,68.35745137,73.33788003,56.89434247,58.12141637,60.31887979,60.60571281,61.11859304,60.20365663,58.25186125,57.71369225,57.34814547,56.35782814,54.92047111,56.07589161,57.13812721,57.72623622,56.80486177,59.14505922,57.61292197,57.56816932,58.73360251,59.67875799,61.25097401,62.30786717,63.20369583,63.33867286,62.65335035,63.06784925,61.44844464,56.91338419,58.08723107,59.17893586,59.31474253
Barbados,BRB,,,,,,,,,,,,,,,,46.61409259,51.24004126,51.02620672,50.98852084,51.86531187,42.47053045,44.06131191,43.72490389,42.81174578,43.23735696,45.66843034,44.65788628,45.14002334,44.53647833,44.49814126,70.99827032,70.51181102,71.52018396,70.60722892,71.93667668,72.15294909,72.82709297,71.95024876,70.43946347,70.59120768,71.26327831,71.501064,73.69225817,71.74170432,72.85382494,71.93480822,72.52532021,72.03207015,72.46357849,73.82939156,75.92025217,74.56147241,74.72946446,75.61357426,75.16381687,75.35171302,75.03262808,73.34741506,72.83315247,73.90745675,74.15240484,72.82164237,74.09431874,75.44411077,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,5.144353281,6.039304469,5.656674445,6.758839489,7.422186163,5.668924751,4.315895308,5.900985719,7.937402529,9.034750341,10.2235408,11.17508181,20.3539042,19.48118119,25.07250085,26.18212233,25.03910735,27.1622987,30.09584549,32.94052856,36.32416944,34.00676265,36.35824605,33.64007817,39.3140104,36.63009758,34.55437118,37.95396167,37.65407339,34.16798767,30.52820418,27.76212806,26.20874073,27.76829544,24.76549645,33.61434582,32.50304366,27.35732064,28.2803648,31.24587916,32.83603549,39.43043379,42.97604182,40.85107611,37.33756962,38.17759858,41.45035468,37.62864505,32.52018254,38.83861014,38.70492397
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,46.22976818,42.59149348,39.84766009,37.54315712,36.59963019,38.00755376,39.10806475,37.88949068,39.4170041,41.46061927,40.4893463,40.85559881,38.56894279,38.7820317,35.26025536,34.31404481,35.40290658,34.98590902,37.59391632,36.12569391,42.15666637,40.7807195,39.1970369,39.76825895,40.88955118,42.99502101,42.61603218,39.53007458,40.70355558,42.78192656,43.00530744,44.75294357,42.39281134,42.45704836,43.04010997,43.74483911,43.40156034,43.23931879,45.61443672,49.62735818,49.98163782,50.17916544,51.19679435,52.67962811,
Botswana,BWA,43.12016263,45.90883382,48.49140389,50.5384158,48.30266301,46.95121951,46.34146341,43.75676286,43.89473684,41.76417642,39.448876,39.42731278,39.37844217,40.04131012,40.32219283,33.63792119,35.45595054,35.71334648,33.66397382,30.55971266,29.90722212,33.32220367,34.43854361,32.75265389,31.54774836,30.05257078,29.72601169,28.94681012,26.93763183,28.44991993,31.82627068,32.93138789,34.71322946,37.85698945,45.36143547,46.26401687,44.78038275,44.1444145,46.10473375,44.41073482,42.74691052,45.28806333,47.59738232,49.69706398,47.95429188,45.28381107,47.8447642,48.31222621,51.76872671,58.27322435,54.7364972,51.70792467,55.58132841,55.12379488,53.03424397,56.87590861,54.12489119,56.96806353,58.43627593,61.22292824,65.91733228,60.24962328,56.42826145,59.19373539,63.49204471
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31143009,29.32937286,28.57003593,30.87110173,40.85579919,42.7402098,43.23164358,42.76108721,42.94387879,43.00858844,40.12957596,39.00274215,42.46472,42.42763,40.51077245,40.47018898
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.82292878,63.58332828,62.57092598,61.30066732,62.54146881,63.01576544,62.92361298,62.40435898,62.03346575,62.72319311,63.09642128,62.73445421,66.86904248,65.73341913,64.79820615,65.16324113,65.16744128,64.90199745,67.00099777,67.9588533,67.11667206,66.86584615,67.67116348,69.55977998,66.38830766,,,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.63552429,51.09929421,51.54273303,52.62813088,53.79061199,55.19184057,55.62656352,56.28423105,55.90520855,54.47545894,54.80399149,54.65613109,54.46032519,54.71107069,55.9655489,55.50586735,54.12565933,55.41286377,56.22693652,55.61140387,55.57425608,56.18488357,56.9603052,57.43392206,57.97197897,58.68804244,58.7001624,58.94571632,59.49527731,60.58935702
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.68528847,65.44212005,66.53733206,67.01779556,66.28353127,66.54472257,67.85032824,68.40536262,68.93339192,68.60211818,69.07736836,68.7312208,68.8639747,69.43847197,69.70325566,69.63312131,69.47899745,69.50557666,69.57191386,71.0151374,71.03967691,70.77907666,71.48716652,71.38735209,71.74878413,72.03171257,72.25789171,72.09011649,72.06351529,71.86188459,71.75040688,70.93253951,72.17135038,72.16327805,72.02981662
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.70315862,91.31723237,91.44415196,91.32119541,91.69627667,90.41476855,90.96770772,91.18101004,
Chile,CHL,50.87053356,51.2895632,50.2924443,49.98215211,49.26057609,49.63534762,49.1177656,49.11786563,49.0474308,48.82964095,49.84493762,51.88307057,52.31087965,50.49082228,43.44073728,53.23339284,49.46258976,51.24950971,52.91021275,52.845359,54.0881102,56.49877625,59.24812854,52.21225089,48.53686803,49.55998611,50.84942456,49.54060509,45.70140466,47.1082603,46.71769121,46.1379888,47.5917659,48.69169944,48.90487699,48.09040605,52.4243926,53.32429826,55.12174235,56.23073897,55.60647359,56.19145356,56.35055914,55.68002664,53.64534842,52.1481092,48.41260701,49.54815235,54.44853124,55.51124998,53.81278118,54.36976409,56.29821325,57.22098524,57.15287588,58.34470936,58.98263633,58.27680715,58.00126866,58.88317546,56.34461458,54.99812437,55.37208876,57.6027445,56.07746918
